"CHR" "POPNAME" "H_O_VARSITES" "H_O_ALLSITES" "H_E_VARSITES" "H_E_ALLSITES" "H_E_UNBIASED_VARSITES" "H_E_UNBIASED_ALLSITES" "NOVAR_IN_POP" "N_TOT_IN_POP"
"1" "Baka" "0.295635377647047" "0.00105283719357139" "0.271509236413462" "0.000966917507537064" "0.292394562291421" "0.00104129577734761" "219870062" "220655877"
"1" "Nzime" "0.33847822367687" "0.00102885810586138" "0.299941205787183" "0.000911718743686692" "0.333268006430204" "0.00101302082631855" "220462886" "221135061"
"1" "BaKola" "0.328235742922746" "0.00103289966354088" "0.297459631039869" "0.000936052698229112" "0.33051070115541" "0.0010400585535879" "220053408" "220748063"
"1" "Ngumba" "0.332807954882755" "0.00101442712552602" "0.298005639655684" "0.000908346690610077" "0.331117377395205" "0.00100927410067786" "220382986" "221056786"
"1" "AkaMbati" "0.344119158283412" "0.00105687592549001" "0.303332150623278" "0.000931608832882314" "0.337035722914754" "0.00103512092542479" "220478612" "221157843"
"1" "BaKiga" "0.344119158283412" "0.00105687592549001" "0.303332150623278" "0.000931608832882314" "0.337035722914754" "0.00103512092542479" "220478612" "221157843"
"1" "BaTwa" "0.318795879865799" "0.00101690384604316" "0.290719618671982" "0.000927345417613899" "0.31714867491489" "0.00101164954648789" "220469776" "221175287"
"1" "Nsua" "0.336730761716108" "0.00101570583309589" "0.305262968050667" "0.000920787206066523" "0.339181075611852" "0.00102309689562947" "219919367" "220584733"
"1" "BaKonjo" "0.331088529820105" "0.00101537013859015" "0.297534280565976" "0.000912467199808296" "0.330593645073307" "0.00101385244423144" "220096421" "220773481"
"1" "Karretjiepeople" "0.333024671076127" "0.00105362733280884" "0.29766806188483" "0.000941765680880731" "0.330742290983145" "0.0010464063120897" "220555260" "221255270"
"1" "GuiandGana" "0.335282804453319" "0.00107062516698778" "0.297427269858297" "0.000949744860843565" "0.330474744286997" "0.00105527206760396" "220582033" "221288652"
"1" "Juhoansi" "0.33518684656219" "0.00103861046809382" "0.301340930607767" "0.000933735461890484" "0.334823256230853" "0.00103748384654498" "220546230" "221231739"
"1" "Nama" "0.333417393225289" "0.00105052148206074" "0.299662584167477" "0.000944167846171894" "0.332958426852752" "0.00104907538463544" "220557373" "221254495"
"1" "Xun" "0.333791673456544" "0.00107393818402527" "0.296852625013346" "0.000955090837733171" "0.329836250014828" "0.00106121204192575" "220537017" "221248861"
"1" "BantuHerero" "0.528059780730531" "0.00095240719169776" "0.407426513675543" "0.000734833357647717" "0.543235351567391" "0.000979777810196955" "221005974" "221405300"
"1" "BantuKenya" "0.540967280671507" "0.00101316613328264" "0.405940068819341" "0.000760276535319566" "0.541253425092454" "0.00101370204709275" "221013932" "221428641"
"1" "BantuTswana" "0.541721363069457" "0.00104547082666538" "0.404891730371889" "0.00078140261935286" "0.539855640495852" "0.00104187015913715" "221013062" "221440421"
"1" "Biaka" "0.53133751244947" "0.00102414835538401" "0.405799988282852" "0.000782175887975267" "0.541066651043803" "0.00104290118396702" "220962099" "221388824"
"1" "Esan" "0.425871056188676" "0.00100151024163256" "0.355577902244133" "0.000836203601115235" "0.42669348269296" "0.00100344432133828" "220635914" "221156001"
"1" "Gambian" "0.540485598609102" "0.00100425341569032" "0.405336843001131" "0.000753139232824253" "0.540449124001508" "0.00100418564376567" "220919344" "221330589"
"1" "Igbo" "0.546796994949739" "0.00102301600608613" "0.405727049314883" "0.000759084759764223" "0.540969399086511" "0.00101211301301896" "220992857" "221407093"
"1" "Juhoansi_comp" "0.3647576891716" "0.000992953172398702" "0.324362949663971" "0.000882989528223266" "0.370700513901681" "0.00100913088939802" "217008537" "217600896"
"1" "Khomani" "0.541317738596973" "0.000980574383406197" "0.407320007980249" "0.000737843113564787" "0.543093343973665" "0.000983790818086383" "220962125" "221363115"
"1" "Lemande" "0.544232139621958" "0.00101750219756873" "0.406128691346096" "0.000759302521580979" "0.541504921794794" "0.00101240336210797" "221009134" "221423109"
"1" "Luhya" "0.422843044425746" "0.00101539861870216" "0.353695264186181" "0.000849349864992777" "0.424434317023417" "0.00101921983799133" "220689607" "221220838"
"1" "Luo" "0.544097195395194" "0.001017794654888" "0.405021657459631" "0.000757638307208837" "0.540028876612841" "0.00101018440961178" "220997873" "221412049"
"1" "Mandenka" "0.369953435767674" "0.000976461361787182" "0.324086109412005" "0.000855398364056517" "0.370384125042291" "0.000977598130350305" "216834413" "217408244"
"1" "Maasai" "0.56102851748988" "0.00097737615147617" "0.407455921975608" "0.000709835041360225" "0.543274562634144" "0.000946446721813633" "220967742" "221353365"
"1" "Mbuti" "0.337047436273166" "0.000985135783979057" "0.305341993060873" "0.00089246584113448" "0.339268881178748" "0.000991628712371645" "216504136" "217138798"
"1" "Mende" "0.420426698452021" "0.00101689097406951" "0.352636314061386" "0.000852925578271973" "0.423163576873664" "0.00102351069392637" "220763131" "221298388"
"1" "Mozabite" "0.54587839035632" "0.000834586427344777" "0.409282485374934" "0.000625746710766277" "0.545709980499911" "0.000834328947688369" "221038253" "221376713"
"1" "Saharawi" "0.560701632857927" "0.000862719619704976" "0.409028269017966" "0.000629348466308422" "0.545371025357289" "0.00083913128841123" "221082348" "221423039"
"1" "Yoruba" "0.370806526909787" "0.000999507881801893" "0.3233225788177" "0.000871515042051639" "0.3695115186488" "0.000996017190916159" "217155481" "217742405"
"1" "DaiChinese" "0.33982330513686" "0.000686110256380237" "0.314928788847336" "0.000635847714948628" "0.343558678742548" "0.000693652052671231" "217023800" "217462862"
